points_scored,plus_minus,outcome,seconds_played_per_game,made_field_goals_percent,made_three_point_field_goals_percent,made_free_throws_percent,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,NAME_x,Start_Year_x,Age,Name_Year,File_Name,TEAM,SALARY,POSITION
7.09,1.94,51,1443.06,45.23,44.09,73.53,0.28,2.9,2.74,1.17,0.1,1.3,1.99,6.27,Joe Ingles,2016,28,Joe Ingles@@@2017,2016-2017_inglejo01_regular_season_box_scores.csv,Utah Jazz,"$14,136,364",SG
24.12,7.15,56,2147.48,52.83,27.27,71.51,2.4,7.06,3.86,1.15,0.64,2.8,3.31,18.84,Blake Griffin,2013,27,Blake Griffin@@@2014,2013-2014_griffbl01_regular_season_box_scores.csv,LA Clippers,"$17,674,613",PF
12.6,2.38,40,1497.59,52.31,40.5,79.47,0.4,3.0,3.51,0.51,0.01,1.18,1.6,10.24,Jarrett Allen,2020,23,Jarrett Allen@@@2021,2020-2021_brunsja01_regular_season_box_scores.csv,Cleveland Cavaliers,"$20,000,000",C
10.99,-3.16,25,1780.23,64.13,0.0,70.45,3.26,9.81,2.26,0.61,1.06,2.22,2.42,12.64,DeAndre Jordan,2018,29,DeAndre Jordan@@@2019,2018-2019_jordade01_regular_season_box_scores.csv,Brooklyn Nets,"$9,881,598",C
2.6,-1.5,5,226.4,41.67,50.0,57.14,0.1,0.1,0.5,0.0,0.0,0.4,0.6,1.01,Patty Mills,2009,20,Patty Mills@@@2010,2009-2010_millspa02_regular_season_box_scores.csv,Portland Trail Blazers,"$937,195",PG
7.09,-1.49,26,1363.25,44.16,39.13,74.39,0.78,2.86,1.18,0.52,0.31,0.86,1.68,5.58,Anthony Tolliver,2016,27,Anthony Tolliver@@@2017,2016-2017_tollian01_regular_season_box_scores.csv,Detroit Pistons,"$3,290,000",PF
20.58,-4.15,12,1932.1,40.36,31.73,74.88,0.42,2.8,6.88,1.05,0.78,3.52,1.15,13.83,John Wall,2020,30,John Wall@@@2021,2020-2021_walljo01_regular_season_box_scores.csv,Houston Rockets,"$44,310,840",PG
18.11,-1.38,34,2204.67,44.52,28.33,83.14,0.59,3.32,2.49,0.93,0.29,1.84,2.11,11.52,DeMar DeRozan,2012,27,DeMar DeRozan@@@2013,2012-2013_derozde01_regular_season_box_scores.csv,Toronto Raptors,"$9,500,000",SF
25.02,6.38,30,2004.87,51.28,36.49,69.8,0.64,7.04,7.78,1.07,0.56,3.73,1.56,20.4,LeBron James,2020,36,LeBron James@@@2021,2020-2021_jamesle01_regular_season_box_scores.csv,Los Angeles Lakers,"$41,180,544",SF
25.84,6.18,51,2128.38,44.42,36.86,91.23,0.85,3.79,6.89,1.1,0.42,2.65,1.85,20.16,Damian Lillard,2018,28,Damian Lillard@@@2019,2018-2019_lillada01_regular_season_box_scores.csv,Portland Trail Blazers,"$29,802,321",PG
14.02,-3.59,29,1678.17,45.15,38.92,79.31,0.33,2.45,3.06,0.84,0.21,1.89,2.35,9.01,Zach LaVine,2015,19,Zach LaVine@@@2016,2015-2016_lavinza01_regular_season_box_scores.csv,Minnesota Timberwolves,"$2,240,880",SG
15.07,-1.64,28,2034.56,42.29,38.11,81.76,0.8,4.11,1.67,0.93,0.72,1.36,2.36,10.81,Danilo Gallinari,2009,22,Danilo Gallinari@@@2010,2009-2010_gallida01_regular_season_box_scores.csv,Denver Nuggets,"$3,304,560",PF
20.33,4.02,38,2035.44,48.14,38.17,72.43,1.09,5.3,2.07,1.14,0.35,2.19,2.93,13.79,Jaylen Brown,2019,22,Jaylen Brown@@@2020,2019-2020_brownja02_regular_season_box_scores.csv,Boston Celtics,"$23,735,118",SG
20.56,-1.73,21,2019.11,51.08,14.29,78.66,2.79,5.05,2.0,0.79,1.7,2.4,2.95,15.52,Brook Lopez,2015,28,Brook Lopez@@@2016,2015-2016_lopezbr01_regular_season_box_scores.csv,Brooklyn Nets,"$21,165,675",C
23.67,2.25,39,2151.53,46.14,39.31,89.84,0.77,5.79,3.35,1.59,0.36,2.93,2.75,16.63,Paul George,2016,26,Paul George@@@2017,2016-2017_georgpa01_regular_season_box_scores.csv,Oklahoma City Thunder,"$19,508,958",F
16.36,-2.52,32,1906.76,42.65,29.33,79.33,0.7,2.71,4.71,0.67,0.21,2.65,1.27,9.99,Derrick Rose,2015,27,Derrick Rose@@@2016,2015-2016_rosede01_regular_season_box_scores.csv,New York Knicks,"$21,323,252",PG
19.19,-3.86,14,1940.93,45.02,36.59,75.26,1.62,3.99,2.16,0.74,0.71,2.67,3.04,11.12,Michael Beasley,2010,25,Michael Beasley@@@2011,2010-2011_beaslmi01_regular_season_box_scores.csv,Minnesota Timberwolves,"$6,262,347",F
25.51,5.86,54,2006.32,48.48,37.98,87.99,1.08,4.73,3.51,1.8,0.74,2.08,1.65,20.41,Kawhi Leonard,2016,25,Kawhi Leonard@@@2017,2016-2017_leonaka01_regular_season_box_scores.csv,San Antonio Spurs,"$18,868,626",SF
25.35,4.75,47,2185.26,44.87,29.75,73.67,1.9,8.15,10.25,1.84,0.25,4.76,2.5,20.83,Russell Westbrook,2017,29,Russell Westbrook@@@2018,2017-2018_westbru01_regular_season_box_scores.csv,Oklahoma City Thunder,"$35,654,150",PG
21.23,0.13,44,2094.68,48.06,15.56,82.99,0.7,5.3,6.17,1.12,0.47,2.58,2.3,16.52,DeMar DeRozan,2018,33,DeMar DeRozan@@@2019,2018-2019_derozde01_regular_season_box_scores.csv,San Antonio Spurs,"$27,739,975",SF
14.68,0.24,37,1984.24,46.91,33.47,83.13,1.26,5.45,2.22,0.86,0.53,1.42,2.01,11.55,Tobias Harris,2015,17,Tobias Harris@@@2016,2015-2016_harrito02_regular_season_box_scores.csv,Detroit Pistons,"$17,200,000",PF
24.43,4.28,41,1931.45,49.13,40.79,88.89,0.55,3.23,5.1,1.08,0.28,2.33,2.03,18.18,Kyrie Irving,2017,25,Kyrie Irving@@@2018,2017-2018_irvinky01_regular_season_box_scores.csv,Boston Celtics,"$20,099,189",PG
8.83,3.34,56,1470.55,64.34,0.0,38.55,2.56,4.68,0.34,0.59,1.37,1.22,2.34,8.27,DeAndre Jordan,2012,23,DeAndre Jordan@@@2013,2012-2013_jordade01_regular_season_box_scores.csv,LA Clippers,"$10,986,550",C
21.71,4.64,54,2173.74,42.36,36.4,86.42,0.8,5.98,3.54,1.89,0.28,2.8,2.48,15.48,Paul George,2013,23,Paul George@@@2014,2013-2014_georgpa01_regular_season_box_scores.csv,Indiana Pacers,"$15,937,290",F
17.37,-1.82,28,1707.4,46.88,39.4,74.73,0.96,3.63,1.37,0.7,1.61,1.74,4.07,11.46,Jaren Jackson Jr.,2019,21,Jaren Jackson Jr.@@@2020,2019-2020_jacksja02_regular_season_box_scores.csv,Memphis Grizzlies,"$7,257,360",PF
7.68,4.73,48,1223.32,49.5,0.0,62.22,2.14,3.13,0.75,0.43,1.29,0.95,2.08,6.64,Taj Gibson,2011,22,Taj Gibson@@@2012,2011-2012_gibsota01_regular_season_box_scores.csv,Chicago Bulls,"$7,415,730",F
2.6,1.9,30,512.98,40.51,18.18,76.79,0.55,0.79,0.33,0.26,0.12,0.33,0.48,2.13,Jimmy Butler,2011,22,Jimmy Butler@@@2012,2011-2012_butleji01_regular_season_box_scores.csv,Chicago Bulls,"$1,112,880",SF
26.35,5.18,49,2051.54,51.55,41.89,88.86,0.46,6.37,5.38,0.74,1.75,3.04,1.96,21.35,Kevin Durant,2017,29,Kevin Durant@@@2018,2017-2018_duranke01_regular_season_box_scores.csv,Golden State Warriors,"$30,000,000",PF
20.46,4.54,46,2003.56,43.69,34.0,80.47,0.66,3.09,3.68,1.49,0.34,2.72,2.7,13.01,Donovan Mitchell,2017,20,Donovan Mitchell@@@2018,2017-2018_mitchdo01_regular_season_box_scores.csv,Utah Jazz,"$3,111,480",SG
23.75,11.51,67,1959.92,48.7,44.27,91.39,0.7,3.56,7.74,2.04,0.2,3.11,1.98,20.39,Stephen Curry,2014,26,Stephen Curry@@@2015,2014-2015_curryst01_regular_season_box_scores.csv,Golden State Warriors,"$11,370,786",PG
23.44,7.59,46,2059.15,45.02,40.3,81.15,0.97,6.0,3.03,1.41,0.86,2.35,2.06,16.87,Jayson Tatum,2019,21,Jayson Tatum@@@2020,2019-2020_tatumja01_regular_season_box_scores.csv,Boston Celtics,"$9,897,120",SF
12.79,5.67,54,1747.83,52.25,37.91,80.16,1.15,5.09,2.02,1.73,0.76,1.21,1.92,11.86,Kawhi Leonard,2013,22,Kawhi Leonard@@@2014,2013-2014_leonaka01_regular_season_box_scores.csv,San Antonio Spurs,"$2,894,059",SF
10.51,1.33,28,1495.14,39.91,34.83,88.95,0.39,1.75,4.6,0.6,0.02,1.51,1.26,8.61,D.J. Augustin,2019,34,D.J. Augustin@@@2020,2019-2020_augusdj01_regular_season_box_scores.csv,Houston Rockets,"$6,666,667",G
10.31,2.44,14,977.31,48.46,42.86,100.0,0.25,1.5,2.44,0.62,0.06,1.62,0.88,7.22,Patty Mills,2011,22,Patty Mills@@@2012,2011-2012_millspa02_regular_season_box_scores.csv,San Antonio Spurs,"$1,085,120",PG
